date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,53.84,53.18,52.9,54.4,190823
2014-01-02,53.26,53.58,53.15,53.79,102922
2014-01-05,53.65,53.4,53.1103,53.97,219174
2014-01-06,53.54,53.95,53.23,54.14,192883
2014-01-07,53.74,53.91,53.48,54.24,202061
2014-01-08,54.04,54.16,53.49,54.24,122003
2014-01-09,54.21,54.28,53.66,54.32,158918
2014-01-12,54.02,53.66,53.37,54.55,136858
2014-01-13,53.76,54.6,53.36,54.63,121597
2014-01-14,54.63,54.62,54.49,54.82,140053
2014-01-15,54.41,54.19,54.12,54.91,97314
2014-01-16,54.19,53.87,53.65,54.37,112385
2014-01-20,54.27,53.9,53.8,54.47,129352
2014-01-21,53.91,54.08,53.86,54.3,107113
2014-01-22,53.74,53.61,53.41,53.88,147438
2014-01-23,53.45,53.08,52.67,53.57,248563
2014-01-26,53.05,53.31,52.76,53.66,252237
2014-01-27,53.19,53.7,53.1601,53.82,175701
2014-01-28,53.26,53.56,53.26,53.76,244141
2014-01-29,54.37,55.81,54,55.85,387098
2014-01-30,55.55,54.96,54.79,55.73,237337
2014-02-02,54.95,53.2,52.65,55.3,506684
2014-02-03,53.46,53.57,52.715,54.084,284746
2014-02-04,53.3,53.57,52.61,53.67,172123
2014-02-05,53.59,53.94,53.04,54.19,75409
2014-02-06,54.3,54.62,54.06,54.7425,118666
2014-02-09,54.4,54.55,54.16,54.83,253897
2014-02-10,54.59,54.75,54.17,54.86,197704
2014-02-11,54.67,54.97,54.6,55.2,243450
2014-02-12,54.8,55.22,54.77,55.26,146306
2014-02-13,55.17,55.96,55.08,55.99,213655
2014-02-17,56,56.74,55.75,56.905,284410
2014-02-18,62.76,64.86,60.99,64.99,1300394.0
2014-02-19,64.9,65.43,64.9,65.92,881115
2014-02-20,65.6,66.24,65.11,67.04,806105
2014-02-23,66.25,66.8,65.81,67.5,574582
2014-02-24,67.2,68.26,66.83,68.29,350057
2014-02-25,68.56,69.19,67.91,69.42,379616
2014-02-26,69.22,68.68,68.42,69.35,307860
2014-02-27,68.85,68.99,68.66,69.92,326881
2014-03-02,68.15,69.2,68.15,69.57,307701
2014-03-03,70.1,71.56,70.1,71.62,346658
2014-03-04,71.68,71.8,71.12,72.13,342273
2014-03-05,71.82,70.95,70.8601,72.76,288335
2014-03-06,71.36,70.61,70.41,71.36,219942
2014-03-09,70.64,69.65,69.44,70.96,248855
2014-03-10,69.87,68.81,68.01,69.87,364759
2014-03-11,68.81,68.59,68.14,68.97,408513
2014-03-12,68.95,68.94,68.51,69.18,290559
2014-03-13,69.05,68.88,68.35,69.38,175591
2014-03-16,69.1,69.5,69,69.92,584857
2014-03-17,69.64,70.02,69.26,70.37,135585
2014-03-18,69.91,70.74,69.84,71.01,287652
2014-03-19,70.57,71.05,70.32,71.49,207751
2014-03-20,71.21,71.18,70.8,71.87,339366
2014-03-23,71.36,70.19,69.47,71.45,160632
2014-03-24,70.78,70.45,70.05,71.642,233473
2014-03-25,70.45,68.79,68.62,70.88,148864
2014-03-26,68.75,68.71,68.06,69.11,189195
2014-03-27,68.8,68.71,68.374,69.34,162231
2014-03-30,69.2,69.41,68.72,69.83,172461
2014-03-31,69.6,69.58,69.22,70.4,345300
2014-04-01,69.92,69.73,69.29,70.3575,403365
2014-04-02,69.83,69.52,69.111,70.1,297526
2014-04-03,69.94,68.22,67.59,69.94,341810
2014-04-06,68.18,67.67,67.3,68.58,377179
2014-04-07,67.83,68.34,66.6738,68.55,244696
2014-04-08,68.4,69.01,67.98,69.43,332374
2014-04-09,68.76,67.77,67.48,69.34,239818
2014-04-10,67.5,66.79,66.64,68.21,346148
2014-04-13,67.57,68.28,67.45,68.59,436421
2014-04-14,71.1,61.39,60.06,71.7399,4061844.0
2014-04-15,62.65,63.89,61.55,64.44,2249756.0
2014-04-16,64.12,63.52,63.37,64.4296,692103
2014-04-20,63.66,64.34,63.59,64.65,1182867.0
2014-04-21,64.3,66.98,63.94,67.05,1533114.0
2014-04-22,67,68,66.3,68.03,844203
2014-04-23,68.28,69.3,67.05,69.78,971810
2014-04-24,69,67.7,67.26,69.06,352805
2014-04-27,67.71,67.02,65.44,68.1099,446928
2014-04-28,67.26,67.53,65.671,68.13,381992
2014-04-29,67.61,69.44,67.3201,69.62,619522
2014-04-30,69.33,70.53,69.33,71.08,1012960.0
2014-05-01,70.53,71.92,69.84,72.02,1066680.0
2014-05-04,71.77,72.2,70.67,72.9,932409
2014-05-05,70.62,73.98,70.5,74.06,1561238.0
2014-05-06,73.74,74.72,72.83,74.87,1061102.0
2014-05-07,74.34,74.51,74.1,75.32,959627
2014-05-08,74.49,74.03,73.65,74.77,496751
2014-05-11,74.14,74.23,73.8,75.3,766212
2014-05-12,74.34,73.41,73.39,74.6,720077
2014-05-13,73.25,73.39,72.9415,74.15,488972
2014-05-14,73.1,72.36,71.2801,73.13,566876
2014-05-15,72.05,72.3,71.51,72.41,432629
2014-05-18,72.36,72.22,71.88,72.75,670914
2014-05-19,72.09,71.81,71.22,72.54,466198
2014-05-20,72.07,71.61,71.4925,72.77,265291
2014-05-21,71.94,72.31,71.72,72.81,277194
2014-05-22,72.5,73.33,72.16,73.59,356179
2014-05-26,74.01,73.17,73.13,74.01,345835
2014-05-27,73.52,72.96,72.5,73.98,287779
2014-05-28,73.26,73.55,72.62,73.56,648302
2014-05-29,73.75,74.3,73.624,74.88,511299
2014-06-01,74.3,74.78,72.73,74.82,480134
2014-06-02,74.63,75.29,74.41,75.5,464020
2014-06-03,75.23,77.36,75.125,77.46,962165
2014-06-04,77.91,77.74,76.85,77.99,671873
2014-06-05,77.84,78.11,77.21,78.65,414847
2014-06-08,78.3,78.87,77.57,79.0255,384640
2014-06-09,78.89,78.78,77.97,79.06,224205
2014-06-10,78.71,78.81,78.26,79.43,206501
2014-06-11,78.99,78.87,78.35,79.29,217217
2014-06-12,78.6,76.31,75.87,78.77,813354
2014-06-15,76.06,76.11,75.64,77.32,590549
2014-06-16,75.89,80.605,75.4001,82.36,966684
2014-06-17,78.52,78.87,77.56,79.21,937726
2014-06-18,79.09,78.83,78.35,79.36,607044
2014-06-19,78.83,78.89,78.42,79.27,387952
2014-06-22,79,79.56,78.84,79.6,254872
2014-06-23,79.2,79.01,78.75,80.21,600446
2014-06-24,78.75,79.36,78.515,79.49,832473
2014-06-25,79.33,80.32,78.69,80.52,437446
2014-06-26,80.27,81.01,79.86,81.18,1324698.0
2014-06-29,80.87,82.32,80.87,82.62,492240
2014-06-30,82.29,85.06,82.29,85.255,775886
2014-07-01,84.95,84.88,84.05,85.5275,465481
2014-07-02,85.55,85.38,84.88,86.02,299551
2014-07-06,85,84.72,84.38,85.16,415648
2014-07-07,82.56,83.39,82.4008,83.545,726559
2014-07-08,84.04,84.57,83.5,84.7,300094
2014-07-09,83.53,83.93,82.99,84.4,491429
2014-07-10,84.04,83.59,83.31,84.1799,251786
2014-07-13,84.35,83.68,83.38,84.981,649964
2014-07-14,83.96,82.68,81.81,84.49,442482
2014-07-15,83.01,81.7,81.26,83.068,500298
2014-07-16,81.59,80.38,80.29,82.9,594058
2014-07-17,80.85,82.1,80.85,82.18,257045
2014-07-20,81.63,81.8,81.35,82.8,347537
2014-07-21,82.38,82.3,82.26,83.15,223092
2014-07-22,82.24,82.02,81.91,82.56,294045
2014-07-23,82.32,82.31,81.82,83.06,199943
2014-07-24,82.06,81.64,81.495,82.18,183696
2014-07-27,81.8,81.5,81.245,82.07,260782
2014-07-28,81.86,81.65,81.4,82.32,381543
2014-07-29,82.11,82.04,81.72,82.62,305617
2014-07-30,81.4,80.07,79.81,81.625,326396
2014-07-31,80.02,80.31,79.02,81.01,480892
2014-08-03,80.78,82.55,80.32,82.64,499255
2014-08-04,80,76.81,75.37,80.815,1542219.0
2014-08-05,76.53,75.9,75.37,76.69,444564
2014-08-06,75.98,74.68,74.43,76.41,387806
2014-08-07,74.68,75.15,74.29,75.3,315269
2014-08-10,75.36,74.28,74.01,75.36,383484
2014-08-11,74.1,73.9,72.9,74.73,474149
2014-08-12,73.88,74.77,73.702,74.96,336520
2014-08-13,75.04,74.47,74.36,75.5,408269
2014-08-14,74.92,75.14,74.45,75.46,284084
2014-08-17,75.28,76.71,75.28,76.76,344749
2014-08-18,76.97,77.84,76.91,78,438305
2014-08-19,77.83,77.505,77.23,78.22,226448
2014-08-20,77.65,77.35,76.73,77.65,235837
2014-08-21,77.48,77,76.42,77.48,243650
2014-08-24,77.61,77.27,76.99,77.61,163610
2014-08-25,77.27,77.05,75.76,77.57,210178
2014-08-26,77.02,77.44,76.49,77.52,227826
2014-08-27,77.2,77.72,76.76,77.97,245424
2014-08-28,77.99,78.03,77.72,78.42,154221
2014-09-01,77.93,77.71,76.82,78.44,744360
2014-09-02,78.13,76.56,76.42,78.13,320121
2014-09-03,76.51,75.01,74.73,77.3,372911
2014-09-04,75.02,75.54,74.57,76.08,259969
2014-09-07,74.83,74.04,73.15,75.065,513440
2014-09-08,74.13,73.99,73.81,74.75,341958
2014-09-09,74.09,74.27,73.6381,74.7,253548
2014-09-10,73.68,74.99,73.371,75.3,324737
2014-09-11,74.67,74.19,73.83,75.05,269236
2014-09-14,74.04,73.5,73.17,74.27,252819
2014-09-15,73.5,74.77,73.27,75.119,380446
2014-09-16,75.06,74.535,73.925,75.97,311505
2014-09-17,74.86,75.41,74.53,75.84,282743
2014-09-18,75.47,74.09,73.79,75.48,423876
2014-09-21,73.76,73.56,73.14,74.3,374560
2014-09-22,73.29,73.79,73.04,74.63,401440
2014-09-23,73.52,73.9,73.21,74.21,400588
2014-09-24,73.85,72.33,72.1,73.89,361615
2014-09-25,72.73,73.77,72.46,73.8,343224
2014-09-28,72.84,71.72,71.71,72.87,699118
2014-09-29,71.69,70.97,70.28,71.91,600859
2014-09-30,70.73,68.21,68.14,71.13,573754
2014-10-01,67.97,66.99,65.38,68.42,1096089.0
2014-10-02,69.54,70.61,68.615,71.2995,1176941.0
2014-10-05,71,70.01,69.99,71.32,398805
2014-10-06,69.57,68.21,68.19,69.6,485664
2014-10-07,67.87,67.57,66.56,68.39,941156
2014-10-08,67.22,66.47,66.38,67.67,384205
2014-10-09,66.35,64.61,64.55,66.42,464863
2014-10-12,64.53,62.47,62.34,64.93,516121
2014-10-13,62.92,60.8,60.62,63.554,1018343.0
2014-10-14,59.8,62.51,58.951,63.11,1211888.0
2014-10-15,61.36,63.97,61.355,64.24,960461
2014-10-16,64.92,65.995,64.44,66.49,651618
2014-10-19,65.45,66.28,65.37,66.94,528791
2014-10-20,66.46,67.91,66.46,68.02,631665
2014-10-21,68.27,67.13,67.03,68.36,440971
2014-10-22,67.97,69.03,67.4875,69.43,419655
2014-10-23,69.08,69.3,68.58,69.41,251011
2014-10-26,68.68,69.65,68.6256,69.76,331668
2014-10-27,70.12,71.33,70,71.5,331068
2014-10-28,71.46,71.27,70.74,71.7295,315439
2014-10-29,71.14,71.17,70.99,71.96,455373
2014-10-30,72.4,73.75,71.49,74.06,562838
2014-11-02,74.44,73.88,73.43,74.93,832955
2014-11-03,73.58,72.78,69.51,74.14,1544037.0
2014-11-04,73.08,73.07,71.01,73.85,1475597.0
2014-11-05,73.04,73.88,72.9,74.3,816635
2014-11-06,73.73,72.59,72.14,74.4499,507208
2014-11-09,72.44,72.98,72.41,73.21,318251
2014-11-10,73.06,72.27,71.51,73.26,293794
2014-11-11,72.06,71.93,71.51,72.64,333517
2014-11-12,71.86,70.61,70.37,72.1,496661
2014-11-13,70.5,70.69,69.94,71.21,559194
2014-11-16,70.83,70.77,70.22,71.29,379464
2014-11-17,70.77,71.44,70.77,72.3,315173
2014-11-18,71.26,70.19,69.98,71.26,380951
2014-11-19,69.91,69.84,69.46,70.35,349481
2014-11-20,73.94,72.55,72.29,74.5,581464
2014-11-23,72.64,72.43,72.03,73.07,356467
2014-11-24,72.77,73.02,71.98,73.31,497848
2014-11-25,73.1,73.09,72.76,73.365,277480
2014-11-27,72.98,73.15,72.492,73.7,242197
2014-11-30,73,72.9,71.27,73.51,536202
2014-12-01,73.25,75.15,72.6301,75.28,582139
2014-12-02,75.59,77.08,75.15,77.25,852588
2014-12-03,76.85,76.55,75.9102,77.1071,459549
2014-12-04,76.9,76.49,76.18,77.28,379240
2014-12-07,76.24,75.28,74.88,76.95,311313
2014-12-08,74.22,76.17,73.64,76.25,471678
2014-12-09,75.96,75.48,75.02,77.01,445077
2014-12-10,76,75.83,75.6,76.43,448874
2014-12-11,74.9,74.09,74.06,75.52,366193
2014-12-14,74.7,74.67,73.73,75.48,716393
2014-12-15,74.13,75.01,72.6,75.15,746649
2014-12-16,74.72,76.18,74.72,76.41,450528
2014-12-17,77.27,77.95,76.893,78.01,409263
2014-12-18,78.09,78.1,77.58,78.75,749035
2014-12-21,78.28,78.345,77.68,78.94,241435
2014-12-22,78.99,78.08,77.85,79.11,308137
2014-12-23,78.03,78.33,77.4,78.79,120128
2014-12-25,78.59,78.1,77.91,78.98,242870
2014-12-28,78,78.05,77.47,78.29,158543
2014-12-29,77.68,78.32,77.56,78.89,286018
2014-12-30,78.34,77.41,77.37,78.81,281976
2015-01-01,77.99,77.43,76.06,78.42,411974
2015-01-04,76.69,76.34,75.74,77,420300
2015-01-05,76.28,75.79,74.4,76.28,527658
2015-01-06,76.38,77.72,75.51,78.14,467990
2015-01-07,78.66,79.38,78.59,79.81,324543
2015-01-08,79.46,80.54,78.84,80.79,561340
2015-01-11,80.39,80.66,80.39,81.36,638226
2015-01-12,80.98,82.54,80.98,83.22,856008
2015-01-13,81.42,81.23,80.43,82.4,376685
2015-01-14,81.35,81.28,80.27,83.01,675872
2015-01-15,81,82.91,80.85,83.02,474733
2015-01-19,83.25,82.15,81.23,83.84,328175
2015-01-20,81.81,82.73,81.22,82.97,259055
2015-01-21,83.04,84.96,81.45,85.06,594018
2015-01-22,84.65,84.19,84.02,85,371608
2015-01-25,84.17,84.54,82.95,84.92,372575
2015-01-26,83.53,84.61,82.93,84.69,355257
2015-01-27,85.2,84.175,84.06,85.66,387270
2015-01-28,84.36,83.67,82.31,84.36,381626
2015-01-29,83.12,83.46,82.55,83.99,500576
2015-02-01,83.58,84.07,82.12,84.09,493739
2015-02-02,84.32,86.63,84.024,86.7,394798
2015-02-03,86.01,86.5,85.765,86.633,463675
2015-02-04,86.81,86.96,86.04,88.105,908466
2015-02-05,86.64,87.15,86.155,87.44,446128
2015-02-08,86.92,87.425,86.46,88.17,504387
2015-02-09,88.28,88.09,87.45,88.28,343552
2015-02-10,88.1,88.27,87.56,88.36,308902
2015-02-11,88.9,89.47,88.55,89.98,427238
2015-02-12,89.75,90.525,88.76,90.7,333571
2015-02-16,90.88,89.49,89,90.9999,403979
2015-02-17,89.03,89.54,89.03,90.7999,510128
2015-02-18,89.57,89.735,89.19,90.66,421333
2015-02-19,89.48,91,88.541,91.12,324663
2015-02-22,90.79,91.49,89.84,91.5,267521
2015-02-23,91.82,92.4,90.85,92.48,339909
2015-02-24,92,91.58,91.06,92.28,305175
2015-02-25,91.77,91.76,91.15,92.15,225558
2015-02-26,92.17,91.05,90.3,92.45,327769
2015-03-01,90.41,91.8,90.41,91.95,368303
2015-03-02,91.79,91.36,90.69,91.821,195316
2015-03-03,90.84,91.03,90.43,91.45,274147
2015-03-04,91.38,91.16,90.62,91.4599,186408
2015-03-05,90.82,89.63,89.26,91.43,368537
2015-03-08,89.5,89.4,88.47,90.04,504781
2015-03-09,88.51,87.8,87.57,89.04,236431
2015-03-10,87.67,88,86.76,88.22,777590
2015-03-11,88,87.82,87.76,88.49,356931
2015-03-12,87.57,87.71,86.65,88.34,532311
2015-03-15,88.61,88.9,88.19,90.07,710647
2015-03-16,86,85.98,84.16,88.41,1870193.0
2015-03-17,85.46,85.82,82.53,86.35,1289676.0
2015-03-18,85.28,86.07,84.73,86.33,825132
2015-03-19,86.29,88.16,85.81,88.24,850713
2015-03-22,88.16,92.25,88.16,92.43,892025
2015-03-23,90.88,90.99,90.11,92.16,723882
2015-03-24,91.47,88.2,88.03,92.12,448844
2015-03-25,87.67,86.39,85.58,87.67,516716
