date,open_price,close_price,lowest_price,highest_price,volume
2014-04-14,17.9,15.35,15.15,17.92,3532806.0
2014-04-15,15.35,15.62,15.21,16.09,266991
2014-04-16,15.95,16.25,15.71,16.55,262450
2014-04-20,16.59,16.1,16.01,16.59,78054
2014-04-21,16.2,15.98,15.76,16.689,96895
2014-04-22,15.82,16.07,15.8,16.18,56688
2014-04-23,16.28,15.75,15.75,16.3,42999
2014-04-24,15.75,15.3,15.25,15.75,71686
2014-04-27,15.43,14.97,14.51,15.66,197722
2014-04-28,15.01,15.28,15.01,15.45,68668
2014-04-29,15.17,15.41,15.06,15.51,53762
2014-04-30,15.29,15.67,15.29,15.9,40066
2014-05-01,15.69,15.8,15.69,16.0564,22481
2014-05-04,15.69,15.68,15.678,15.99,13738
2014-05-05,15.63,15.31,15.25,15.63,32811
2014-05-06,15.26,15.05,14.95,15.29,92807
2014-05-07,15.25,15.18,15.18,15.3284,19106
2014-05-08,15.12,14.51,14.12,15.17,76203
2014-05-11,14.73,14.09,14.09,14.87,111501
2014-05-12,14.57,13.87,13.675,14.872,90994
2014-05-13,14.15,14.07,13.91,14.29,105703
2014-05-14,14,14.29,13.6101,14.31,110698
2014-05-15,14.29,13.81,13.57,14.68,119912
2014-05-18,13.85,13.24,13.1,13.85,202725
2014-05-19,13.5,14,13.37,14.3,141271
2014-05-20,14.25,14,13.87,14.25,47855
2014-05-21,13.91,15.38,13.845,15.61,85855
2014-05-22,15.35,14.53,14.31,15.35,352817
2014-05-26,14.57,14.03,13.76,14.81,68215
2014-05-27,14.08,13.25,13.12,14.08,244080
2014-05-28,13.45,13.48,13.43,13.82,64706
2014-05-29,13.41,13.35,13.24,13.525,76303
2014-06-01,13.49,13.54,13.175,13.8296,47728
2014-06-02,13.74,14.03,13.43,14.11,84973
2014-06-03,14,14.3,13.59,14.443,73836
2014-06-04,13.01,14.17,13.01,14.43,67843
2014-06-05,14.33,14.45,13.89,14.5,42695
2014-06-08,14.45,14.64,14.19,14.6745,104826
2014-06-09,14.65,14.43,14.35,14.67,61405
2014-06-10,14.35,14.46,14.25,14.54,25113
2014-06-11,14.46,13.97,13.9134,14.47,120652
2014-06-12,14.07,14,13.4,14.07,65297
2014-06-15,14.57,14.44,14.246,14.61,107041
2014-06-16,14.34,14,13.45,14.376,98336
2014-06-17,13.79,14.17,13.72,14.39,78490
2014-06-18,14.13,14.29,14.1201,14.3,55175
2014-06-19,14.36,14.12,14.12,14.71,187108
2014-06-22,14.2,14.64,14.09,14.65,58822
2014-06-23,14.56,14.7,14.5,15,130506
2014-06-24,14.65,14.72,14.17,14.74,59207
2014-06-25,14.68,14.72,14.56,15.16,92049
2014-06-26,14.84,13.98,13.98,15.22,767433
2014-06-29,14.27,14.59,13.91,14.66,169691
2014-06-30,14.62,14.6,14.16,14.737,56290
2014-07-01,14.54,14.25,14.2,14.57,52623
2014-07-02,14.27,14.68,14.27,14.72,23265
2014-07-06,14.55,14.02,14.01,14.665,65983
2014-07-07,14,13.43,13.38,14.13,114412
2014-07-08,13.44,13.42,13.28,13.609,53699
2014-07-09,13.25,13.3,13.25,13.44,84582
2014-07-10,13.25,13.03,13.02,13.33,62891
2014-07-13,13.05,13.29,13.02,13.75,130154
2014-07-14,13.23,12.97,12.64,13.25,87066
2014-07-15,13,12.85,12.8,13.055,91501
2014-07-16,12.79,12.41,12.32,13.04,79274
2014-07-17,12.34,12.48,12.282,12.62,24197
2014-07-20,12.45,12.78,12.2801,12.87,37940
2014-07-21,12.87,12.62,12.55,12.87,19956
2014-07-22,12.6899,12.84,12.593,12.98,17827
2014-07-23,12.92,13,12.92,13.12,96062
2014-07-24,13.23,13,12.91,13.46,142733
2014-07-27,12.95,12.96,12.75,13.04,54160
2014-07-28,13.06,12.88,12.79,13.094,34822
2014-07-29,13.096,13,12.839,13.096,56498
2014-07-30,12.91,12.78,12.65,13.002,41747
2014-07-31,12.84,12.65,12.35,12.902,61643
2014-08-03,12.77,12.69,12.5,12.77,48968
2014-08-04,12.61,12.49,12.48,12.65,57936
2014-08-05,13.07,13.83,12.9,14.08,208529
2014-08-06,13.94,13.82,13.75,14.02,54118
2014-08-07,13.86,13.58,13.26,13.966,114423
2014-08-10,13.7,13.91,13.65,13.92,41523
2014-08-11,13.8309,13.89,13.81,13.98,40956
2014-08-12,13.98,14.75,13.92,14.78,378569
2014-08-13,14.83,15.26,14.83,15.66,137133
2014-08-14,15.46,16.84,15.26,17.08,135077
2014-08-17,17,16.45,16.06,17,191341
2014-08-18,16.5,16.19,16.12,16.5,47930
2014-08-19,16.11,15.77,15.42,16.33,106448
2014-08-20,15.68,16.54,15.51,16.65,64243
2014-08-21,16.59,17.45,16.37,17.6899,451744
2014-08-24,17.55,17.25,16.84,17.55,74321
2014-08-25,17.26,18.05,17.16,18.06,158424
2014-08-26,18.34,17.98,17.79,18.34,97696
2014-08-27,17.87,17.88,17.53,18.02,49519
2014-08-28,17.86,17.92,17.61,18.1,84379
2014-09-01,18.14,18.08,17.93,18.32,135974
2014-09-02,18.22,17.35,17.11,18.22,451855
2014-09-03,17.5,16.65,16.21,17.57,335718
2014-09-04,16.48,16.43,16.04,16.58,119034
2014-09-07,16.38,16.39,15.99,16.58,134418
2014-09-08,16.39,16.11,15.81,16.39,147490
2014-09-09,16.16,16.36,15.86,16.45,85600
2014-09-10,16.22,16.7,16.06,17.032,174758
2014-09-11,16.8,17.74,16.8,18.03,278791
2014-09-14,17.83,17.16,16.5,17.92,196158
2014-09-15,17.16,17.89,16.85,18.13,252681
2014-09-16,17.98,17.73,17.53,18.04,95327
2014-09-17,17.8,18.05,17.03,18.19,188959
2014-09-18,18.08,18.99,17.46,19.2381,561759
2014-09-21,18.85,18.28,17.54,19.1425,398914
2014-09-22,18.29,18.3,17.9,18.77,308095
2014-09-23,18.5,18.42,17.67,18.59,187345
2014-09-24,18.31,16.99,16.82,18.31,109712
2014-09-25,17,17.22,17,17.51,69077
2014-09-28,17.1,16.91,16.8,17.22,150566
2014-09-29,16.95,16.56,16.31,17.03,188788
2014-09-30,16.21,16.1,16,16.62,149355
2014-10-01,16.02,16.3,15.74,16.331,140987
2014-10-02,16.48,16.57,16.4,16.83,91835
2014-10-05,16.63,16.15,16.01,16.64,62664
2014-10-06,16,15.76,15.47,16.11,172136
2014-10-07,15.7,15.68,15.589,15.93,112618
2014-10-08,15.64,14.88,14.32,15.68,238587
2014-10-09,14.75,14.88,14.68,15.59,194716
2014-10-12,14.95,14.98,14.79,15.215,284314
2014-10-13,15.08,15.04,14.87,15.4,216444
2014-10-14,15.05,16.26,14.85,16.35,258277
2014-10-15,16.05,16.76,16,16.79,100722
2014-10-16,17.02,16.43,16.39,17.02,48794
2014-10-19,16.33,16.34,16.17,16.44,37291
2014-10-20,16.22,16.67,16.22,16.82,118476
2014-10-21,16.67,16.48,16.38,16.735,71608
2014-10-22,16.55,16.53,16.38,16.89,68852
2014-10-23,16.6,16.51,16.32,16.65,39719
2014-10-26,16.47,16.57,16.34,16.8,47134
2014-10-27,16.6,16.91,16.6,17.32,98086
2014-10-28,16.95,16.77,16.681,17.1299,66130
2014-10-29,16.79,17.43,16.74,17.47,94399
2014-10-30,17.8,17.75,17.54,17.88,55733
2014-11-02,17.82,17.68,17.6,17.9175,49967
2014-11-03,17.68,17.73,17.58,18.08,145739
2014-11-04,18.62,21.15,18.62,22.11,678386
2014-11-05,21.26,21.59,21,22.49,253088
2014-11-06,21.52,21.43,21.09,21.65,133537
2014-11-09,21.44,22.07,21.16,22.08,222925
2014-11-10,22.22,22.5,22.18,23.37,248652
2014-11-11,22.19,22.35,22.13,22.7767,94165
2014-11-12,22.35,22.6,22.221,23.33,92315
2014-11-13,22.73,23.69,22.3101,23.78,174564
2014-11-16,23.84,24.85,23.55,25.46,421026
2014-11-17,25.1,24.84,24.7101,25.1,246400
2014-11-18,24.96,25.69,24.61,26.33,154321
2014-11-19,25.65,26.1,25.54,26.29,121980
2014-11-20,26.56,26.93,26.07,27.72,202258
2014-11-23,27.17,27.47,27.17,28.41,250873
2014-11-24,27.58,27.68,26.5,27.7899,320676
2014-11-25,27.94,28.29,27.543,28.73,189122
2014-11-27,28.45,28.75,28.31,29.42,114485
2014-11-30,28.83,28.38,28,29.1312,116027
2014-12-01,28.86,27.6,26.93,29.26,296734
2014-12-02,26.81,26.92,25.76,27,226802
