date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,42.09,41.79,41.48,42.15,491326
2014-01-02,41.77,42.09,41.55,42.19,604525
2014-01-05,42.08,42.27,41.8,42.31,759308
2014-01-06,42.28,42.14,41.85,42.49,620525
2014-01-07,42.11,41.97,41.66,42.2263,693087
2014-01-08,42.14,42.49,41.99,42.54,742286
2014-01-09,42.75,43.57,42.34,43.58,955944
2014-01-12,43.54,43.3,43.2,43.68,827614
2014-01-13,43.4,43.97,43.32,43.99,627563
2014-01-14,44.66,44.65,44.346,44.81,1243937.0
2014-01-15,44.54,44.38,44.22,44.69,542926
2014-01-16,44.27,43.98,43.96,44.37,732677
2014-01-20,44.25,44.12,43.84,44.57,1136535.0
2014-01-21,44.28,43.91,43.88,44.4575,381700
2014-01-22,43.6,44.03,43.51,44.16,715948
2014-01-23,43.66,43.6,43.33,43.8481,735512
2014-01-26,43.7,43.65,43.53,43.98,758481
2014-01-27,43.82,44.65,43.82,44.695,960411
2014-01-28,44.44,44.64,44.34,44.7,927982
2014-01-29,44.85,45.35,44.85,45.42,787773
2014-01-30,44.84,45.66,44.74,45.89,1040381.0
2014-02-02,45.69,44.39,44.31,45.83,1366527.0
2014-02-03,44.43,45.38,44.31,45.67,1662199.0
2014-02-04,45.3,45.29,44.98,45.44,591320
2014-02-05,45.37,45.59,45.16,45.855,564211
2014-02-06,45.85,46.02,45.495,46.06,747840
2014-02-09,46.03,46.91,45.91,46.98,591983
2014-02-10,46.79,47.13,46.77,47.26,565369
2014-02-11,47.1,47.13,46.69,47.24,728579
2014-02-12,46.9,47.38,46.78,47.5,915535
2014-02-13,47.34,47.2,46.94,47.49,614575
2014-02-17,47.45,47.49,46.97,47.53,476113
2014-02-18,47.36,47.5,47.36,47.9,936128
2014-02-19,47.53,47.45,46.9,47.83,959817
2014-02-20,47.39,47.61,46.36,48.39,1716139.0
2014-02-23,47.26,47.55,47.26,47.805,1107001.0
2014-02-24,47.7,47.77,47.41,48.19,1248909.0
2014-02-25,48.01,48.32,47.87,48.46,1025340.0
2014-02-26,48.35,48.02,47.9,48.7,574887
2014-02-27,48,49.1,48,49.23,1180271.0
2014-03-02,48.76,48.73,48.15,48.96,550917
2014-03-03,49.19,49.61,49.06,49.64,642743
2014-03-04,49.72,49.62,49.39,50.1,851368
2014-03-05,49.75,49.15,49.05,49.76,539698
2014-03-06,49.37,48.23,48.01,49.38,1217917.0
2014-03-09,48.25,48.26,48,48.4,944741
2014-03-10,48.33,49.25,48.2,49.27,1359324.0
2014-03-11,48.78,49.22,48.62,49.225,1179975.0
2014-03-12,49.43,49.12,49.01,49.43,727246
2014-03-13,48.99,49.26,48.99,49.67,491253
2014-03-16,49.11,48.49,48.39,49.32,614787
2014-03-17,48.46,48.55,48.21,48.7,512152
2014-03-18,48.7,47.55,47.23,48.89,787533
2014-03-19,47.64,47.41,47.17,47.76,822426
2014-03-20,47.51,48,47.49,48.28,1291704.0
2014-03-23,48.13,47.6,47.12,48.42,572448
2014-03-24,47.84,47.91,47.46,48.175,497137
2014-03-25,48.13,47.55,47.46,48.23,461655
2014-03-26,47.45,47.6,47.15,47.745,350996
2014-03-27,47.61,48,47.61,48.27,311682
2014-03-30,48.22,48.51,47.72,48.69,422050
2014-03-31,48.77,49.45,48.37,49.49,691307
2014-04-01,49.3,48.92,48.66,49.6,1115629.0
2014-04-02,48.42,48.38,48.2,48.7,984317
2014-04-03,48.72,48.25,47.93,48.94,530799
2014-04-06,48.3,48,47.89,48.75,1019870.0
2014-04-07,48.01,48.02,47.57,48.17,1024231.0
2014-04-08,48.08,48.24,47.84,48.43,768879
2014-04-09,48.92,48.16,48.01,48.98,730307
2014-04-10,48.02,47.67,47.67,48.41,772102
2014-04-13,47.87,48.52,47.77,48.56,759501
2014-04-14,48.51,49.26,48.51,49.35,799639
2014-04-15,49.51,49.79,49.28,49.88,1069572.0
2014-04-16,49.59,49.97,49.45,49.99,859766
2014-04-20,49.95,50.27,49.784,50.32,640915
2014-04-21,50.32,50.66,50.19,50.78,645160
2014-04-22,50.66,50.44,50.16,50.66,1026305.0
2014-04-23,50.57,50.82,50.37,50.85,529235
2014-04-24,50.77,50.5,50.43,50.812,593043
2014-04-27,50.8,50.93,50.65,51.03,979052
2014-04-28,52.9,51.46,51.24,52.99,1523376.0
2014-04-29,51.45,52.33,51.26,52.4,936655
2014-04-30,52.44,52.11,51.52,52.44,644661
2014-05-01,52,52.14,51.62,52.25,561796
2014-05-04,51.54,51.69,51.24,51.91,956067
2014-05-05,51.53,51.45,51.14,51.73,495506
