date,open_price,close_price,lowest_price,highest_price,volume
2018-11-08,79,75,75,79,9098
2018-11-11,76.5,75.08,72.51,76.5,8276
2018-11-12,73.11,74.45,73,75.47,11849
2018-11-13,74.02,73,71.5,74.47,25864
2018-11-14,72.95,71.67,71.5,73.9,100683
2018-11-15,71.5,70.5,70.12,71.5,63302
2018-11-18,69.55,68.46,66.3829,70.99,77479
2018-11-19,67.95,65.25,64.55,68.25,106506
2018-11-20,64.86,65.21,64.17,68.1755,72545
2018-11-22,65,64,62.25,65,53389
2018-11-25,65.06,63.5,63.015,65.335,51129
2018-11-26,63.14,62,61.02,63.14,119760
2018-11-27,62,62,60.78,62.49,131049
2018-11-28,61.53,63.9,60.87,64.62,89604
2018-11-29,64.21,64.2,62.14,64.5,121681
2018-12-02,64.02,64.94,63.88,66.15,109103
2018-12-03,64.84,64.68,64.29,65.95,84772
2018-12-05,64.29,64.32,60.76,64.32,259901
2018-12-06,64.69,65,64.14,65,94393
2018-12-09,64.76,65.25,64.61,65.5,196867
2018-12-10,65.14,67.26,65.14,67.6349,183841
2018-12-11,67.46,68.16,67.46,69,226461
2018-12-12,68.99,68.39,67.945,69,141304
2018-12-13,68,68.24,67.81,69.29,116085
2018-12-16,68.5,67.97,66.96,68.72,352670
2018-12-17,68,66.84,65.75,68.25,364922
2018-12-18,66.78,67.5,66.73,68.95,466927
2018-12-19,67.32,66.4,65.87,68.61,445357
2018-12-20,66.4,64.27,64.27,66.6,508114
2018-12-23,63.79,64.73,63.79,65.8,40091
2018-12-25,64.81,65.9,64.6966,65.9,40097
2018-12-26,65.24,65.75,65.03,66.25,46293
2018-12-27,65.46,65.48,65.385,66,80069
2018-12-30,65.55,65.74,64.85,65.9999,60980
2019-01-01,64.98,65.98,64.19,66,56724
2019-01-02,65.94,64.52,64.47,66,17218
2019-01-03,65.16,64.98,64.24,65.75,72694
2019-01-06,65.33,64.99,64.35,65.33,50256
2019-01-07,64.99,64.22,63.435,65.395,46527
2019-01-08,64.38,64.92,63.575,65,86488
2019-01-09,64.26,64.47,63.26,65.005,85968
2019-01-10,64.11,63.76,62.95,64.5,58348
2019-01-13,63.18,63.05,62.11,63.71,35749
2019-01-14,63,62.88,62.7416,63.05,46072
2019-01-15,62.9,64.3,62.9,64.3,88658
2019-01-16,64.01,63.95,63.53,64.72,76227
2019-01-17,64.59,64.75,64.21,65.29,76471
2019-01-21,64.0626,64.86,63.4,65.21,115626
2019-01-22,64.95,64.16,64.16,65.28,91347
2019-01-23,64.37,63.88,62.5,64.3775,91429
2019-01-24,64.27,64.99,63.68,65,90258
2019-01-27,64.62,64.54,64.065,65.11,95982
2019-01-28,64.8,64.74,64.45,65,60722
2019-01-29,64.98,64.15,63.84,64.99,25447
2019-01-30,63.89,64.38,63.89,64.55,54717
2019-01-31,64.44,64.6,64.21,64.75,48166
2019-02-03,64.58,64.33,64.01,64.58,40562
2019-02-04,64.17,63.97,63.525,64.25,52267
2019-02-05,63.82,63.75,63.5,64.15,43610
2019-02-06,63.75,62.85,62.1848,63.87,27206
2019-02-07,63.1,61.27,60.55,63.1,76391
2019-02-10,61.33,60.28,58.87,61.33,66845
2019-02-11,60.26,61.15,60.26,61.93,54443
2019-02-12,61.24,62,61.16,63.41,72609
2019-02-13,62.88,61.63,61.58,62.95,51384
2019-02-14,61.45,62.99,61.28,62.99,48651
2019-02-18,62.99,62.64,62.37,64.56,75928
2019-02-19,62,63.38,61.7748,63.63,91530
2019-02-20,63.22,62.23,62.035,63.3,57552
2019-02-21,62.4,62.55,61.45,62.88,42374
2019-02-24,62.7,61.4,60.06,62.7,66712
2019-02-25,61.27,61.4,61.18,62,119855
2019-02-26,61.43,61.6,61.01,61.98,63338
2019-02-27,61.6476,61.6,60.52,61.95,42073
2019-02-28,61.58,61.41,60.72,61.82,54611
2019-03-03,61.46,59.64,59.64,61.73,61325
2019-03-04,59.76,60,59.45,60.79,73142
2019-03-05,60,57.5,57.19,60.17,68012
2019-03-06,57.52,57.74,55.89,58.15,75282
2019-03-07,57.36,56.78,56,57.95,89816
2019-03-10,56.66,57.1,56.38,58.1,58292
2019-03-11,56.86,57.71,56.86,58.17,53828
2019-03-12,58.5,57.6,57.08,58.5,51039
2019-03-13,57.34,56.2,56,57.605,93532
2019-03-14,55.5,56.64,55.47,56.74,196055
2019-03-17,56.65,56.88,56.65,57.22,77340
2019-03-18,56.79,56.25,56.16,57.75,144355
2019-03-19,55.89,55.24,55.01,55.91,207730
2019-03-20,55.23,54.94,54.625,55.62,92598
2019-03-21,54.55,54.97,54.55,55.58,46230
2019-03-24,54.9,55.22,54.21,55.26,62196
2019-03-25,55.43,56.38,55.15,56.88,74121
2019-03-26,56.14,56.58,55.92,56.7475,67998
2019-03-27,56.4,56.52,56.09,57,62746
2019-03-28,56.43,57.92,56.43,58.95,108409
2019-03-31,61,58.79,56.55,61.87,171999
2019-04-01,59.18,59.97,58.25,60.72,184945
2019-04-02,60.42,60.28,59.45,60.74,99094
2019-04-03,59.88,59.43,59.165,60.34,98231
2019-04-04,59.71,60.16,59.31,60.83,181125
2019-04-07,60.19,59.95,59.63,61.14,155113
2019-04-08,60,59.78,59.49,60.31,334995
2019-04-09,60,59.13,57.84,60.01,162589
2019-04-10,59.19,58.1,57.81,59.19,193985
2019-04-11,58.62,56.7,56.68,58.685,172726
2019-04-14,56.87,56.05,55.76,56.87,186531
2019-04-15,56.25,56.85,56,56.95,165022
2019-04-16,56.99,56.35,55.775,57.29,157108
2019-04-17,56.12,55.77,55.46,56.34,215081
2019-04-21,55.46,56.32,55.2801,56.32,61548
2019-04-22,55.93,54.9,54.88,56.775,340013
2019-04-23,54.8,54.72,54.5,55.19,128963
2019-04-24,54.72,54.01,53.22,54.9,88433
2019-04-25,53.87,55.3,53.715,55.505,148454
2019-04-28,55.2,57.01,55.2,57.435,176439
2019-04-29,56.77,56.35,56.105,57.735,377264
2019-04-30,56.15,56.59,56.08,57.42,110448
2019-05-01,56.46,56.63,56.46,57.015,165233
2019-05-02,57.05,59.01,57.05,59.7,134854
2019-05-05,58.28,59.89,58.19,60.39,206869
2019-05-06,59.62,59.24,58.5144,59.66,217272
2019-05-07,59.01,59.34,58.46,59.715,231981
2019-05-08,58.78,59.53,58.46,59.6,138204
2019-05-09,59.03,58.56,57.925,59.64,313595
2019-05-12,57.85,55.86,55.62,58.38,122705
2019-05-13,56.01,55.48,54.47,57.37,142066
2019-05-14,53.5,56.15,52.3,56.85,221629
2019-05-15,56.22,57,56.17,58.46,176103
2019-05-16,56.28,55.5,55.22,57.02,149052
2019-05-19,55.06,56.01,53.92,56.6,165201
2019-05-20,56.45,56.24,55.69,57,117100
2019-05-21,55.9,55.65,55.06,56.95,92577
2019-05-22,55.59,54.75,54.15,55.59,104918
2019-05-23,54.9,54.96,54.32,55.47,154485
2019-05-27,54.74,55.89,54.74,56,328478
2019-05-28,55.5,54.82,54.125,55.71,195794
2019-05-29,54.91,53.9,53.6,55.23,137165
2019-05-30,53.26,52.65,52.05,53.26,124412
2019-06-02,52.67,52.83,52.38,53.15,133069
2019-06-03,52.84,53.38,52.78,53.7332,128700
2019-06-04,53.43,52.85,52.48,53.43,111416
2019-06-05,53.06,52.79,52.57,53.45,106964
2019-06-06,53.03,53.78,52.7,54.75,210756
2019-06-09,54.02,52.68,52.56,54.37,183254
2019-06-10,52.82,52.68,52.18,53.58,158380
2019-06-11,51.89,52.67,51.33,53.5,171835
2019-06-12,52.93,52.69,52.5,53.15,198765
2019-06-13,52.71,52.69,52.1,53.27,137619
2019-06-16,52.69,52.99,52.55,53.91,231743
2019-06-17,53.6,53.06,52.69,54.79,147260
2019-06-18,53.08,53.09,52.99,53.94,103835
2019-06-19,53.82,53.66,52.99,54.79,300287
2019-06-20,54.08,53.69,53.08,54.24,174724
2019-06-23,53.75,53,52.46,53.97,194770
2019-06-24,53,49.86,49.615,53.05,389504
2019-06-25,50.02,50.42,49.75,51.46,245505
2019-06-26,50.61,50.47,50.1,51.11,206757
2019-06-27,50.5,51.9,50.21,52.01,2577047.0
2019-06-30,51.9135,51.22,50.695,52.71,237888
2019-07-01,51.25,48.74,48.03,51.445,205206
2019-07-02,48.9,49.88,48.28,49.96,106672
2019-07-04,49.41,49.11,48.29,50.11,122870
2019-07-07,48.76,49.93,48.76,50.34,139133
2019-07-08,49.45,48.64,47.79,50,237407
2019-07-09,48.69,49.82,48.57,50.17,152321
2019-07-10,49.58,48.3,48.22,49.78,106603
2019-07-11,48.16,47.2,46.58,49.14,162355
2019-07-14,47.27,43.08,42.7,47.27,276052
2019-07-15,42.79,42.54,41.5,43.41,395972
2019-07-16,42.42,41.05,40.79,42.58,203609
2019-07-17,40.89,38.45,37.69,40.9,283725
2019-07-18,38.41,39.14,37.62,39.255,226948
2019-07-21,39.26,38.77,38.27,39.42,150311
2019-07-22,39.05,38.11,38.01,39.18,142177
2019-07-23,37.96,39.42,37.65,39.91,400011
2019-07-24,39.4,37.68,37.55,39.63,239718
2019-07-25,37.75,38.29,36.95,39.08,323480
2019-07-28,38.27,36.83,36.45,38.64,213270
2019-07-29,36.84,36.17,35.31,36.99,292015
2019-07-30,36.06,35.83,35.19,36.62,284313
2019-07-31,35.63,33.17,32.945,35.63,497898
2019-08-01,32.99,32.19,31.83,33.46,412330
2019-08-04,31.75,31.78,30.36,32.14,361039
2019-08-05,31.69,31.33,31.15,32.38,284162
2019-08-06,30.95,31.01,30.08,31.22,329155
2019-08-07,31.18,31.23,30.99,31.8527,300097
2019-08-08,31.08,30.45,30.45,31.59,249575
2019-08-11,30.23,30.36,29.74,30.67,149875
2019-08-12,30.26,30.64,29.97,32.09,239256
2019-08-13,29.88,31.41,29.4475,32.21,400006
2019-08-14,31.56,30.94,30.85,32.62,283384
2019-08-15,31.17,30.97,30.045,31.37,197448
2019-08-18,31.15,31.11,30.69,31.64,142675
2019-08-19,30.86,30.09,29.85,31.11,119217
2019-08-20,30.4,30.11,29.18,30.88,135339
2019-08-21,30.12,28.27,28.19,30.12,168488
2019-08-22,27.8,27.11,26.74,28.16,252095
2019-08-25,27.29,27,26.23,27.29,129677
2019-08-26,27.17,25.82,25.71,27.32,213967
2019-08-27,25.75,25.78,25.37,26.68,167941
2019-08-28,26.04,26.93,26.04,27.2,156559
2019-08-29,28.03,28.8,27.31,30.2,264854
2019-09-02,28.43,29.07,27.78,29.29,247902
2019-09-03,29.25,30.17,29.24,30.62,208312
2019-09-04,30.56,31.19,29.91,31.75,240874
2019-09-05,31.11,30.87,30.5,32.05,208899
2019-09-08,31.06,32.76,30.79,33.04,300776
2019-09-09,32.95,32.91,32.59,33.44,281846
2019-09-10,33.1,33.39,32.67,34.49,245420
2019-09-11,32.93,32.38,32.21,33.3,164191
2019-09-12,32.57,33.59,32.45,33.79,177214
2019-09-15,34.4,33.48,32.88,35.33,169245
2019-09-16,33.39,32.67,32.06,33.795,157998
2019-09-17,32.28,31.71,31.375,32.67,321410
2019-09-18,31.93,32.86,31.64,32.92,253983
2019-09-19,32.78,31.63,31.53,33.34,1130185.0
2019-09-22,31.18,31.08,30.81,31.58,295380
2019-09-23,30.8,27.57,27.1601,30.95,469670
2019-09-24,27.42,28.82,27.2,29.165,224779
2019-09-25,28.63,28.18,27.89,29.22,151480
2019-09-26,28.01,28.15,27.75,28.66,109999
2019-09-29,27.99,27.96,27.61,28.48,141228
2019-09-30,28.12,25.2,25.19,28.12,144490
2019-10-01,24.93,24.86,24.08,25.46,161314
2019-10-02,24.59,24.56,23.86,24.83,207649
2019-10-03,24.56,23.35,22.96,24.83,164059
2019-10-06,23.23,23.82,22.71,24.11,274690
2019-10-07,23.48,23.16,22.86,23.8,119091
2019-10-08,23.27,22.11,21.81,23.495,138494
2019-10-09,22.24,22.34,21.69,22.55,147589
2019-10-10,22.57,22.81,22.01,23.815,186869
2019-10-13,22.61,22.72,21.84,22.88,88787
2019-10-14,22.65,22.73,22.33,23.11,212499
2019-10-15,22.58,22.11,21.99,23.39,96868
2019-10-16,22.11,22.44,21.79,22.72,106869
2019-10-17,22.32,22.26,22.13,22.77,86584
2019-10-20,22.52,23.03,22.47,23.66,157833
2019-10-21,22.92,23.85,22.605,24.07,185636
2019-10-22,23.8,24.47,23.27,24.63,189532
2019-10-23,24.62,24.07,23.65,24.7,108625
2019-10-24,24.02,24.79,23.71,25.11,118080
2019-10-27,24.89,24.79,24.53,25.63,93953
2019-10-28,24.74,24.3,23.61,24.88,262284
2019-10-29,24.29,23.69,23.4288,24.29,87115
2019-10-30,23.5,22.94,22.85,23.5,117925
2019-10-31,23.19,23.24,22.66,23.63,143314
2019-11-03,23.6,23.23,23.06,23.74,132450
2019-11-04,23.35,23.23,23.2,24.25,118523
2019-11-05,23.22,21.93,21.88,23.29,292605
2019-11-06,22.26,21.39,21.28,22.49,200767
2019-11-07,21.09,20.85,20.55,21.25,232831
2019-11-10,20.6,20.34,20.05,20.84,110568
2019-11-11,20.29,18.99,18.93,20.29,126162
2019-11-12,18.71,18.24,17.92,19.11,159145
2019-11-13,13.89,9.38,9.32,14.78,1731086.0
2019-11-14,9.6,9.04,7.78,9.71,1565279.0
